Ones,t,y(t)
1,-1,0.425605536
1,-0.98540146,0.62283737
1,-0.97080292,0.852941176
1,-0.95620438,1
1,-0.941605839,0.826989619
1,-0.927007299,0.771626298
1,-0.912408759,0.852941176
1,-0.897810219,0.667820069
1,-0.883211679,0.685121107
1,-0.868613139,0.524221453
1,-0.854014599,0.477508651
1,-0.839416058,0.275086505
1,-0.824817518,0.124567474
1,-0.810218978,0.08650519
1,-0.795620438,0.027681661
1,-0.781021898,0.003460208
1,-0.766423358,0.012110727
1,-0.751824818,0.012110727
1,-0.737226277,0.024221453
1,-0.722627737,0.015570934
1,-0.708029197,0
1,-0.693430657,0
1,-0.678832117,0.001730104
1,-0.664233577,0
1,-0.649635036,0
1,-0.635036496,0.001730104
1,-0.620437956,0.001730104
1,-0.605839416,0.001730104
1,-0.591240876,0
1,-0.576642336,0
1,-0.562043796,0
1,-0.547445255,0
1,-0.532846715,0
1,-0.518248175,0
1,-0.503649635,0
1,-0.489051095,0
1,-0.474452555,0.003460208
1,-0.459854015,0
1,-0.445255474,0
1,-0.430656934,0.001730104
1,-0.416058394,0
1,-0.401459854,0
1,-0.386861314,0
1,-0.372262774,0
1,-0.357664234,0
1,-0.343065693,0
1,-0.328467153,0
1,-0.313868613,0
1,-0.299270073,0
1,-0.284671533,0
1,-0.270072993,0
1,-0.255474453,0.001730104
1,-0.240875912,0
1,-0.226277372,0
1,-0.211678832,0.001730104
1,-0.197080292,0
1,-0.182481752,0
1,-0.167883212,0
1,-0.153284672,0.001730104
1,-0.138686131,0
1,-0.124087591,0
1,-0.109489051,0
1,-0.094890511,0
1,-0.080291971,0.001730104
1,-0.065693431,0
1,-0.051094891,0.003460208
1,-0.03649635,0
1,-0.02189781,0
1,-0.00729927,0
1,0.00729927,0
1,0.02189781,0
1,0.03649635,0
1,0.051094891,0
1,0.065693431,0
1,0.080291971,0
1,0.094890511,0
1,0.109489051,0.001730104
1,0.124087591,0
1,0.138686131,0.001730104
1,0.153284672,0
1,0.167883212,0
1,0.182481752,0
1,0.197080292,0.003460208
1,0.211678832,0.001730104
1,0.226277372,0
1,0.240875912,0.008650519
1,0.255474453,0.012110727
1,0.270072993,0.003460208
1,0.284671533,0.003460208
1,0.299270073,0.005190311
1,0.313868613,0.001730104
1,0.328467153,0
1,0.343065693,0.006920415
1,0.357664234,0.006920415
1,0.372262774,0.020761246
1,0.386861314,0.017301038
1,0.401459854,0.024221453
1,0.416058394,0.032871972
1,0.430656934,0.107266436
1,0.445255474,0.155709343
1,0.459854015,0.266435986
1,0.474452555,0.280276817
1,0.489051095,0.380622837
1,0.503649635,0.271626298
1,0.518248175,0.038062284
1,0.532846715,0.941176471
1,0.547445255,0.455017301
1,0.562043796,0.235294118
1,0.576642336,0.117647059
1,0.591240876,0.084775087
1,0.605839416,0.077854671
1,0.620437956,0.060553633
1,0.635036496,0.05017301
1,0.649635036,0.057093426
1,0.664233577,0.081314879
1,0.678832117,0.051903114
1,0.693430657,0.081314879
1,0.708029197,0.081314879
1,0.722627737,0.048442907
1,0.737226277,0.060553633
1,0.751824818,0.048442907
1,0.766423358,0.046712803
1,0.781021898,0.084775087
1,0.795620438,0.100346021
1,0.810218978,0.121107266
1,0.824817518,0.133217993
1,0.839416058,0.173010381
1,0.854014599,0.150519031
1,0.868613139,0.102076125
1,0.883211679,0.124567474
1,0.897810219,0.093425606
1,0.912408759,0.070934256
1,0.927007299,0.093425606
1,0.941605839,0.055363322
1,0.95620438,0.041522491
1,0.97080292,0.093425606
1,0.98540146,0.060553633
1,1,0.006920415
