Ones,Input,Normalized
1,-1,0
1,-0.975308642,0.001818182
1,-0.950617284,0
1,-0.925925926,0
1,-0.901234568,0
1,-0.87654321,0.001818182
1,-0.851851852,0
1,-0.827160494,0
1,-0.802469136,0
1,-0.777777778,0
1,-0.75308642,0.001818182
1,-0.728395062,0
1,-0.703703704,0.003636364
1,-0.679012346,0
1,-0.654320988,0
1,-0.62962963,0
1,-0.604938272,0
1,-0.580246914,0
1,-0.555555556,0
1,-0.530864198,0
1,-0.50617284,0
1,-0.481481481,0
1,-0.456790123,0
1,-0.432098765,0.001818182
1,-0.407407407,0
1,-0.382716049,0.001818182
1,-0.358024691,0
1,-0.333333333,0
1,-0.308641975,0
1,-0.283950617,0.003636364
1,-0.259259259,0.001818182
1,-0.234567901,0
1,-0.209876543,0.009090909
1,-0.185185185,0.012727273
1,-0.160493827,0.003636364
1,-0.135802469,0.003636364
1,-0.111111111,0.005454545
1,-0.086419753,0.001818182
1,-0.061728395,0
1,-0.037037037,0.007272727
1,-0.012345679,0.007272727
1,0.012345679,0.021818182
1,0.037037037,0.018181818
1,0.061728395,0.025454545
1,0.086419753,0.034545455
1,0.111111111,0.112727273
1,0.135802469,0.163636364
1,0.160493827,0.28
1,0.185185185,0.294545455
1,0.209876543,0.4
1,0.234567901,0.285454545
1,0.259259259,0.04
1,0.283950617,1
1,0.308641975,0.534545455
1,0.333333333,0.26
1,0.358024691,0.132727273
1,0.382716049,0.090909091
1,0.407407407,0.081818182
1,0.432098765,0.063636364
1,0.456790123,0.050909091
1,0.481481481,0.06
1,0.50617284,0.085454545
1,0.530864198,0.054545455
1,0.555555556,0.085454545
1,0.580246914,0.085454545
1,0.604938272,0.050909091
1,0.62962963,0.063636364
1,0.654320988,0.050909091
1,0.679012346,0.049090909
1,0.703703704,0.089090909
1,0.728395062,0.103636364
1,0.75308642,0.125454545
1,0.777777778,0.14
1,0.802469136,0.181818182
1,0.827160494,0.154545455
1,0.851851852,0.105454545
1,0.87654321,0.125454545
1,0.901234568,0.092727273
1,0.925925926,0.072727273
1,0.950617284,0.085454545
1,0.975308642,0.036363636
1,1,0
