Ones,t,y(t)
1,-1,0
1,-0.963636364,0.166666667
1,-0.927272727,0
1,-0.890909091,0
1,-0.854545455,0.083333333
1,-0.818181818,0
1,-0.781818182,0.083333333
1,-0.745454545,0
1,-0.709090909,0.083333333
1,-0.672727273,0
1,-0.636363636,0
1,-0.6,0.083333333
1,-0.563636364,0.083333333
1,-0.527272727,0.083333333
1,-0.490909091,0
1,-0.454545455,0
1,-0.418181818,0.333333333
1,-0.381818182,1
1,-0.345454545,0.166666667
1,-0.309090909,0.416666667
1,-0.272727273,0.166666667
1,-0.236363636,0.416666667
1,-0.2,0.583333333
1,-0.163636364,0.083333333
1,-0.127272727,0
1,-0.090909091,0.25
1,-0.054545455,0.416666667
1,-0.018181818,0.416666667
1,0.018181818,0.416666667
1,0.054545455,0.416666667
1,0.090909091,0.25
1,0.127272727,0.166666667
1,0.163636364,0.416666667
1,0.2,0.166666667
1,0.236363636,0.416666667
1,0.272727273,0.583333333
1,0.309090909,0.5
1,0.345454545,0.25
1,0.381818182,0.083333333
1,0.418181818,0.25
1,0.454545455,0.333333333
1,0.490909091,0
1,0.527272727,0
1,0.563636364,0.083333333
1,0.6,0.416666667
1,0.636363636,0.083333333
1,0.672727273,0.166666667
1,0.709090909,0.25
1,0.745454545,0.166666667
1,0.781818182,0.083333333
1,0.818181818,0.083333333
1,0.854545455,0
1,0.890909091,0.083333333
1,0.927272727,0
1,0.963636364,0
1,1,0
